MSOA11CD,year,income,imd,oa,pop,unem,edu,mig
E02000090,2021,36400,0.077,0,9639,2.8,35,12.5
E02000091,2011,32850,0.093,0,8726,3.3,27.3,21.4
E02000091,2021,36800,0.089,0,10164,2.8,34.4,9
E02000092,2011,28679,0.218,0,9682,5.1,19.4,9.2
E02000092,2021,34300,0.179,0,6753,3.9,27,7.2
E02000093,2011,30243,0.17,0,6426,4.4,31.1,31.4
E02000093,2021,47000,0.123,0,11877,3.6,37.4,12.1
E02000094,2011,28679,0.209,0,10883,4.7,27.9,15.6
E02000094,2021,46000,0.119,0,10460,4,39.8,10.2
E02000095,2011,29721,0.223,0,8746,5.3,32.5,21.5
E02000095,2021,47500,0.113,0,10461,3.8,38.3,9.1
E02000096,2011,37021,0.098,0,9921,3.8,43.6,17.1
E02000096,2021,45600,0.075,0,7632,2.9,49,7.4
E02000097,2011,28157,0.2,0,7598,5,27.1,21.9
E02000097,2021,47300,0.121,0,9532,3.8,35.4,9.4
E02000098,2011,32329,0.208,0,8958,4.9,36.2,21.5
E02000098,2021,41800,0.149,1,8742,3.7,42.1,8.4
E02000099,2011,31286,0.216,0,7944,5,35.8,27.6
E02000099,2021,49100,0.121,0,9560,3.8,40.9,12.5
E02000100,2011,37543,0.112,0,8707,3.3,42.7,28
E02000100,2021,47100,0.068,0,8319,3.4,49.8,12.4
E02000101,2011,28157,0.315,0,8388,6.3,32.3,25.1
E02000101,2021,37500,0.183,1,9937,4.5,38.6,10
E02000102,2011,26071,0.314,0,9332,7.2,21.3,18
E02000102,2021,39200,0.197,1,8328,4.2,27.2,8.2
E02000103,2011,27114,0.297,1,7787,6.1,27.1,25.2
E02000103,2021,41100,0.198,1,9973,5.4,36.5,9.9
E02000104,2011,29721,0.181,0,8723,5.1,34.9,18.6
E02000104,2021,41400,0.136,1,7505,3.8,39,9.6
E02000105,2011,28679,0.213,0,6767,5.1,34.7,36.5
E02000105,2021,42100,0.136,0,9844,3.9,39,11.2
E02000106,2011,27114,0.279,0,9202,6.8,25.6,28.2
E02000106,2021,36900,0.18,1,10353,5.8,31.8,11.7
E02000107,2011,31807,0.199,1,10217,5.6,40.2,36.1
E02000107,2021,43500,0.144,1,10939,4.3,43.5,15.5
E02000108,2011,28679,0.228,0,10692,5,31.9,16
E02000108,2021,41900,0.123,0,7259,3.9,38.3,10.3
E02000110,2011,33893,0.178,0,6584,5.3,41.2,38.8
E02000110,2021,45100,0.13,0,8175,4.9,48.2,13.7
E02000111,2011,27636,0.205,0,9864,4.8,30.3,23.6
E02000111,2021,37000,0.129,1,11284,4,33.2,11.2
E02000112,2011,28679,0.21,0,8087,5.4,28.5,31.3
E02000112,2021,40200,0.126,1,11749,4.8,33.7,17.8
E02000113,2011,23464,0.422,0,9782,8.4,18.9,17
E02000113,2021,33500,0.285,1,9630,6.7,28.2,7.3
E02000114,2011,31286,0.228,0,9432,5.8,39.3,34
E02000114,2021,39400,0.154,0,8996,4.6,44.5,18.5
E02000115,2011,36500,0.197,0,9655,5.2,51.2,34.5
E02000115,2021,44300,0.149,0,8622,4.6,54.5,16.7
E02000116,2011,25550,0.35,0,9010,6.9,27.2,27
E02000116,2021,35400,0.218,0,8549,5.5,33.4,13.8
E02000117,2011,24507,0.366,0,8340,9.1,20.3,33.1
E02000117,2021,31800,0.261,1,12733,6.3,31.2,9.3
E02000118,2011,25550,0.22,0,8153,5.2,24.3,23.1
E02000118,2021,36200,0.119,1,11293,3.9,28.1,11.1
E02000119,2011,24507,0.46,0,12013,8.8,22.6,12.3
E02000119,2021,34700,0.265,1,10625,5.6,37.6,11.5
E02000120,2011,35979,0.213,0,9425,5,49,37.3
E02000120,2021,43100,0.156,0,9014,5.1,55.6,19.7
E02000121,2011,27636,0.163,0,7248,4.7,28.8,27
E02000121,2021,36600,0.128,0,12239,4.1,31.7,10.7
E02000122,2011,37021,0.158,0,9214,4.4,43.6,22.9
E02000122,2021,46300,0.117,0,8177,4.7,52.9,12.6
E02000123,2011,26071,0.321,0,8933,8.3,25,48.6
E02000123,2021,32800,0.214,1,13578,5.7,35.5,12.9
E02000124,2011,38586,0.175,0,8079,4.7,49.9,41.4
E02000124,2021,47700,0.124,0,9954,4,58.6,15
E02000125,2011,35979,0.184,0,14719,5.1,41,20.3
E02000125,2021,45400,0.122,0,9940,4.4,50.6,12.4
E02000126,2011,26071,0.433,0,10222,9.9,27.9,15.9
E02000126,2021,34000,0.282,0,8195,6.7,41.9,10.4
E02000127,2011,28679,0.25,0,10815,6.3,20.6,13.6
E02000127,2021,34600,0.204,0,9330,4.4,32.9,7.7
E02000128,2011,34414,0.112,0,7775,3.3,31.6,17.4
E02000128,2021,42200,0.086,0,7789,3,39.5,7.7
E02000130,2011,35457,0.138,0,8483,5.4,41.8,22.2
E02000130,2021,42700,0.112,0,8426,3.9,55.5,10.3
E02000131,2011,35979,0.189,0,7294,6.3,42.9,40
E02000131,2021,38300,0.143,0,10485,4.7,57.6,14
E02000132,2011,40671,0.112,0,7914,4.5,43.4,31.1
E02000132,2021,41800,0.1,0,9834,3.9,53.6,13.4
E02000133,2011,42757,0.043,0,8954,2.4,46,22.4
E02000133,2021,47500,0.04,0,10755,2,52.7,9.5
E02000134,2011,35457,0.128,0,8567,4.4,40.1,33
E02000134,2021,43500,0.11,0,11751,3.7,50.1,12.6
E02000135,2011,26071,0.305,0,9606,8.2,26.8,22.9
E02000135,2021,34300,0.236,0,9871,4.9,39.2,10.2
E02000136,2011,31807,0.137,0,10773,3.8,26.7,9.4
E02000136,2021,41400,0.121,0,5745,3.3,35.9,8.3
E02000137,2011,39629,0.079,0,9734,2.9,42,18.3
E02000137,2021,43100,0.06,0,8400,2.6,50.6,10
E02000138,2011,41193,0.043,0,5728,2.5,46.6,32.5
E02000138,2021,43600,0.041,0,8502,2.8,53.5,11.2
E02000139,2011,38064,0.097,0,7826,3.7,41.3,20.3
E02000139,2021,43500,0.074,0,7714,2.8,52.5,10.3
E02000140,2011,26071,0.273,0,7936,6.2,15.4,16.2
E02000140,2021,33900,0.231,0,8679,4.1,27.6,6.5
E02000141,2011,34936,0.118,0,7284,5.7,33.4,19.7
E02000141,2021,40600,0.105,0,7232,4.5,47.3,9.8
E02000142,2011,38064,0.068,0,8041,3,39.1,22.2
E02000142,2021,46500,0.056,0,8818,2.7,48.7,9.1
E02000144,2011,40671,0.064,0,6940,3.9,44.3,30.5
E02000144,2021,47200,0.051,0,10063,3.2,55.2,13.5
E02000145,2011,26593,0.272,0,8285,6.4,18.1,18.4
E02000145,2021,34500,0.217,0,8824,3.6,31.7,6.8
E02000146,2011,35979,0.086,0,8681,3.4,34.8,19.5
E02000146,2021,42600,0.066,0,9702,2.9,45.9,10.9
E02000147,2011,40150,0.037,0,8086,2.7,42.8,15.3
E02000147,2021,44300,0.036,0,8190,2,49.3,7.3
E02000148,2011,37543,0.052,0,8324,2.7,37,11
E02000148,2021,46000,0.044,0,6723,2.4,46.1,7.3
E02000149,2011,29721,0.181,0,7969,5,20.8,14.5
E02000149,2021,37800,0.157,0,8166,3.4,32.4,7.8
E02000150,2011,34414,0.059,0,6585,2.9,30.7,18.5
E02000150,2021,46200,0.056,0,8516,3.2,41.6,7.4
E02000151,2011,38586,0.035,0,7708,2.3,35.5,13.2
E02000151,2021,45300,0.028,0,7543,1.7,45.1,6.3
E02000152,2011,29200,0.188,0,8351,5.6,22.5,12.4
E02000152,2021,38700,0.15,0,7964,3.4,34.7,7.9
E02000153,2011,34414,0.049,0,7574,2.3,30.1,12.6
E02000153,2021,46600,0.037,0,8106,2.3,39.4,5.8
E02000154,2011,34936,0.088,0,6572,3.2,34,22.2
E02000154,2021,40900,0.073,0,8529,2.8,45.5,9.4
E02000155,2011,31286,0.094,0,7755,3.9,21,12.6
E02000155,2021,37300,0.094,0,7156,2.5,30.7,8.1
E02000156,2011,34936,0.05,0,7959,2.5,32.6,21.1
